Title,Upvotes
Finding Mona Lisa in the Game of Life,59
Food Prices Soar Globally,158
Julia: A Post-Mortem,47
"Remembering Allan McDonald, who refused to approve the Challenger launch",926
The Kilobyte’s Gambit,408
Lord of the Ring(s): Side Channel Attacks on the CPU On-Chip Ring Interconnect,117
"OneSignal Is Hiring Engineers in California, New York, Texas, and the UK",27
Conways Game of Life on Blockchain,206
Game Theory – Open Yale Courses,101
Best practices can slow your application down,217
UC’s termination of Elsevier contract has had limited negative impact (2020),33
"Programming Paradigms, Turing Completeness and Computational Thinking",57
Talking with your hands alters the perception of your words,91
"Medical researcher discovers integration, gets 75 citations (2007)",99
Instacart mulls direct listing in snub to IPOs,394
Popular YouTubers who are building their own sites,113
What Happens Inside a 100-Hop IPv6 Wireless Mesh Network?,131
Review: The Book of Why,75
A Solution to the RWP for Exam 1 – Stealing Power (2006),73
Launch HN: PingPong (YC W21) – Video messaging for remote teams,64
Conversations almost never end when both parties want them to: study,530
Modern action films fetishize the body even as they desexualize it,28
Ask HN: Can you switch to a programming career despite nearing 40?,17
Show HN: I made a parser visualizer using manim,115
Show HN: Counter – Simple and Free Web Analytics,685
"Why I rewrote my Rust keyboard firmware in Zig: consistency, mastery, and fun",258
We may soon have city-spanning 900 MHz mesh networks,294
Raspberry Pi for Kill Mosquitoes by Laser,204
The new Google Pay repeats all the same mistakes of Google Allo,726
